,Location,Year,CCI Value
0,OECD,1974-01-01,98.96154
1,OECD,1974-02-01,98.94519
2,OECD,1974-03-01,99.07729
3,OECD,1974-04-01,99.20571
4,OECD,1974-05-01,99.18984
5,OECD,1974-06-01,99.05049
6,OECD,1974-07-01,98.85868
7,OECD,1974-08-01,98.67564
8,OECD,1974-09-01,98.51510999999999
9,OECD,1974-10-01,98.3894
10,OECD,1974-11-01,98.33019
11,OECD,1974-12-01,98.34467
12,OECD,1975-01-01,98.46942
13,OECD,1975-02-01,98.71153000000001
14,OECD,1975-03-01,98.99963000000001
15,OECD,1975-04-01,99.25822
16,OECD,1975-05-01,99.42331999999999
17,OECD,1975-06-01,99.51462
18,OECD,1975-07-01,99.5748
19,OECD,1975-08-01,99.61052
20,OECD,1975-09-01,99.65764
21,OECD,1975-10-01,99.77553
22,OECD,1975-11-01,100.0064
23,OECD,1975-12-01,100.2976
24,OECD,1976-01-01,100.5502
25,OECD,1976-02-01,100.6744
26,OECD,1976-03-01,100.71600000000001
27,OECD,1976-04-01,100.7466
28,OECD,1976-05-01,100.80799999999999
29,OECD,1976-06-01,100.8665
30,OECD,1976-07-01,100.8811
31,OECD,1976-08-01,100.8289
32,OECD,1976-09-01,100.7457
33,OECD,1976-10-01,100.6784
34,OECD,1976-11-01,100.6706
35,OECD,1976-12-01,100.7066
36,OECD,1977-01-01,100.7589
37,OECD,1977-02-01,100.7878
38,OECD,1977-03-01,100.7796
39,OECD,1977-04-01,100.7447
40,OECD,1977-05-01,100.7213
41,OECD,1977-06-01,100.7517
42,OECD,1977-07-01,100.8118
43,OECD,1977-08-01,100.8621
44,OECD,1977-09-01,100.9046
45,OECD,1977-10-01,100.9501
46,OECD,1977-11-01,100.9959
47,OECD,1977-12-01,101.0407
48,OECD,1978-01-01,101.0639
49,OECD,1978-02-01,101.0392
50,OECD,1978-03-01,100.973
51,OECD,1978-04-01,100.9654
52,OECD,1978-05-01,100.984
53,OECD,1978-06-01,100.98299999999999
54,OECD,1978-07-01,100.9907
55,OECD,1978-08-01,100.9697
56,OECD,1978-09-01,100.9562
57,OECD,1978-10-01,100.8505
58,OECD,1978-11-01,100.6322
59,OECD,1978-12-01,100.4133
60,OECD,1979-01-01,100.3576
61,OECD,1979-02-01,100.3445
62,OECD,1979-03-01,100.2704
63,OECD,1979-04-01,100.1805
64,OECD,1979-05-01,100.0815
65,OECD,1979-06-01,99.91435
66,OECD,1979-07-01,99.74651
