,Date,Value of Copper in Dollars per Tonne
0,1959-07-02,645.7719999999999
1,1959-07-06,641.3639999999999
2,1959-07-07,621.5279999999999
3,1959-07-08,627.2584
4,1959-07-09,608.3040000000001
5,1959-07-10,607.6428
6,1959-07-13,612.7120000000001
7,1959-07-14,629.242
8,1959-07-15,633.2092
9,1959-07-16,642.466
10,1959-07-17,642.6864
11,1959-07-20,637.6172
12,1959-07-21,642.6864
13,1959-07-22,648.6372
14,1959-07-23,647.7556
15,1959-07-24,646.4332
16,1959-07-27,646.2128
17,1959-07-28,646.8739999999999
18,1959-07-29,628.14
19,1959-07-30,633.4295999999999
20,1959-07-31,642.466
21,1959-08-03,646.2128
22,1959-08-04,639.16
23,1959-08-05,640.262
24,1959-08-06,649.078
25,1959-08-07,659.6572
26,1959-08-10,665.608
27,1959-08-11,667.3712
28,1959-08-12,671.9996
29,1959-08-13,678.832
30,1959-08-14,675.526
31,1959-08-17,647.976
32,1959-08-18,663.404
33,1959-08-19,665.608
34,1959-08-20,663.404
35,1959-08-21,661.4204
36,1959-08-24,660.7592000000001
37,1959-08-25,656.7919999999999
38,1959-08-26,665.1672
39,1959-08-27,670.016
40,1959-08-28,676.4076
41,1959-08-31,688.3092
42,1959-09-01,676.628
43,1959-09-02,678.3912
44,1959-09-03,679.4932
45,1959-09-04,683.4603999999999
46,1959-09-08,686.1052000000001
47,1959-09-09,680.8156
48,1959-09-10,677.73
49,1959-09-11,677.9504
50,1959-09-14,666.2692000000001
51,1959-09-15,657.4532
52,1959-09-16,660.3184
53,1959-09-17,656.5716
54,1959-09-18,648.6372
55,1959-09-21,641.3639999999999
56,1959-09-22,642.9068000000001
57,1959-09-23,654.588
58,1959-09-24,665.1672
59,1959-09-25,666.9304
60,1959-09-28,661.8612
61,1959-09-29,666.71
62,1959-09-30,669.5752
63,1959-10-01,672.22
64,1959-10-02,681.4767999999999
65,1959-10-05,685.0032
66,1959-10-06,686.9867999999999
67,1959-10-07,677.9504
68,1959-10-08,681.036
69,1959-10-09,683.0196
70,1959-10-13,678.832
71,1959-10-14,687.648
72,1959-10-15,685.8847999999999
73,1959-10-16,686.546
74,1959-10-19,696.464
75,1959-10-20,709.688
76,1959-10-21,715.4184
77,1959-10-22,724.6751999999999
78,1959-10-23,719.606
79,1959-10-26,721.1487999999999
80,1959-10-27,729.524
81,1959-10-28,730.6260000000001
82,1959-10-29,731.7280000000001
83,1959-10-30,727.32
84,1959-11-02,735.034
85,1959-11-04,753.3272
86,1959-11-05,754.87
87,1959-11-06,765.6696
88,1959-11-09,768.5348
89,1959-11-10,778.012
90,1959-11-11,765.2288
91,1959-11-12,754.2088
92,1959-11-13,741.6460000000001
93,1959-11-16,724.014
94,1959-11-17,704.6188
95,1959-11-18,708.586
96,1959-11-19,718.2836000000001
97,1959-11-20,713.4348
98,1959-11-23,705.28
99,1959-11-24,710.1288
100,1959-11-25,698.668
101,1959-11-27,687.8684
102,1959-11-30,682.138
103,1959-12-01,699.77
104,1959-12-02,709.4676000000001
105,1959-12-03,703.076
106,1959-12-04,703.5168
107,1959-12-07,708.8063999999999
