Date,Value of Copper in Dollars per Tonne,ds,y
1959-07-02,645.7719999999998,1959-07-02,645.7719999999998
1959-07-06,641.3639999999998,1959-07-06,641.3639999999998
1959-07-07,621.5279999999998,1959-07-07,621.5279999999998
1959-07-08,627.2584,1959-07-08,627.2584
1959-07-09,608.3040000000002,1959-07-09,608.3040000000002
1959-07-10,607.6428,1959-07-10,607.6428
1959-07-13,612.7120000000001,1959-07-13,612.7120000000001
1959-07-14,629.242,1959-07-14,629.242
1959-07-15,633.2092,1959-07-15,633.2092
1959-07-16,642.466,1959-07-16,642.466
1959-07-17,642.6864,1959-07-17,642.6864
1959-07-20,637.6172,1959-07-20,637.6172
1959-07-21,642.6864,1959-07-21,642.6864
1959-07-22,648.6372,1959-07-22,648.6372
1959-07-23,647.7556,1959-07-23,647.7556
1959-07-24,646.4332,1959-07-24,646.4332
1959-07-27,646.2128,1959-07-27,646.2128
1959-07-28,646.8739999999998,1959-07-28,646.8739999999998
1959-07-29,628.14,1959-07-29,628.14
1959-07-30,633.4295999999998,1959-07-30,633.4295999999998
1959-07-31,642.466,1959-07-31,642.466
1959-08-03,646.2128,1959-08-03,646.2128
1959-08-04,639.16,1959-08-04,639.16
1959-08-05,640.262,1959-08-05,640.262
1959-08-06,649.078,1959-08-06,649.078
1959-08-07,659.6572,1959-08-07,659.6572
1959-08-10,665.6080000000001,1959-08-10,665.6080000000001
1959-08-11,667.3712,1959-08-11,667.3712
1959-08-12,671.9996,1959-08-12,671.9996
1959-08-13,678.832,1959-08-13,678.832
1959-08-14,675.5260000000001,1959-08-14,675.5260000000001
1959-08-17,647.976,1959-08-17,647.976
1959-08-18,663.404,1959-08-18,663.404
1959-08-19,665.6080000000001,1959-08-19,665.6080000000001
1959-08-20,663.404,1959-08-20,663.404
1959-08-21,661.4204,1959-08-21,661.4204
1959-08-24,660.7592000000002,1959-08-24,660.7592000000002
1959-08-25,656.7919999999998,1959-08-25,656.7919999999998
1959-08-26,665.1672,1959-08-26,665.1672
1959-08-27,670.0160000000001,1959-08-27,670.0160000000001
1959-08-28,676.4076,1959-08-28,676.4076
1959-08-31,688.3092,1959-08-31,688.3092
1959-09-01,676.628,1959-09-01,676.628
1959-09-02,678.3912,1959-09-02,678.3912
1959-09-03,679.4932,1959-09-03,679.4932
1959-09-04,683.4603999999998,1959-09-04,683.4603999999998
1959-09-08,686.1052000000002,1959-09-08,686.1052000000002
1959-09-09,680.8156,1959-09-09,680.8156
1959-09-10,677.73,1959-09-10,677.73
1959-09-11,677.9504,1959-09-11,677.9504
1959-09-14,666.2692000000002,1959-09-14,666.2692000000002
1959-09-15,657.4532,1959-09-15,657.4532
1959-09-16,660.3184,1959-09-16,660.3184
1959-09-17,656.5716,1959-09-17,656.5716
1959-09-18,648.6372,1959-09-18,648.6372
1959-09-21,641.3639999999998,1959-09-21,641.3639999999998
1959-09-22,642.9068000000002,1959-09-22,642.9068000000002
1959-09-23,654.5880000000001,1959-09-23,654.5880000000001
1959-09-24,665.1672,1959-09-24,665.1672
1959-09-25,666.9304,1959-09-25,666.9304
1959-09-28,661.8612,1959-09-28,661.8612
1959-09-29,666.71,1959-09-29,666.71
1959-09-30,669.5752,1959-09-30,669.5752
1959-10-01,672.22,1959-10-01,672.22
1959-10-02,681.4767999999998,1959-10-02,681.4767999999998
1959-10-05,685.0032,1959-10-05,685.0032
1959-10-06,686.9867999999999,1959-10-06,686.9867999999999
1959-10-07,677.9504,1959-10-07,677.9504
1959-10-08,681.0360000000001,1959-10-08,681.0360000000001
1959-10-09,683.0196,1959-10-09,683.0196
1959-10-13,678.832,1959-10-13,678.832
1959-10-14,687.648,1959-10-14,687.648
1959-10-15,685.8847999999998,1959-10-15,685.8847999999998
1959-10-16,686.546,1959-10-16,686.546
1959-10-19,696.4639999999999,1959-10-19,696.4639999999999
1959-10-20,709.688,1959-10-20,709.688
1959-10-21,715.4184,1959-10-21,715.4184
1959-10-22,724.6751999999998,1959-10-22,724.6751999999998
1959-10-23,719.6060000000001,1959-10-23,719.6060000000001
1959-10-26,721.1487999999998,1959-10-26,721.1487999999998
1959-10-27,729.5239999999999,1959-10-27,729.5239999999999
1959-10-28,730.6260000000002,1959-10-28,730.6260000000002
1959-10-29,731.7280000000002,1959-10-29,731.7280000000002
1959-10-30,727.32,1959-10-30,727.32
1959-11-02,735.034,1959-11-02,735.034
1959-11-04,753.3272,1959-11-04,753.3272
1959-11-05,754.87,1959-11-05,754.87
1959-11-06,765.6696,1959-11-06,765.6696
1959-11-09,768.5348,1959-11-09,768.5348
1959-11-10,778.012,1959-11-10,778.012
1959-11-11,765.2288,1959-11-11,765.2288
1959-11-12,754.2088,1959-11-12,754.2088
1959-11-13,741.6460000000002,1959-11-13,741.6460000000002
1959-11-16,724.0139999999999,1959-11-16,724.0139999999999
1959-11-17,704.6188,1959-11-17,704.6188
1959-11-18,708.586,1959-11-18,708.586
1959-11-19,718.2836000000002,1959-11-19,718.2836000000002
1959-11-20,713.4348,1959-11-20,713.4348
1959-11-23,705.28,1959-11-23,705.28
1959-11-24,710.1288,1959-11-24,710.1288
1959-11-25,698.668,1959-11-25,698.668
1959-11-27,687.8684,1959-11-27,687.8684
1959-11-30,682.138,1959-11-30,682.138
1959-12-01,699.77,1959-12-01,699.77
1959-12-02,709.4676000000002,1959-12-02,709.4676000000002
1959-12-03,703.076,1959-12-03,703.076
1959-12-04,703.5168,1959-12-04,703.5168
1959-12-07,708.8063999999998,1959-12-07,708.8063999999998
1959-12-08,719.3856000000002,1959-12-08,719.3856000000002
1959-12-09,719.6060000000001,1959-12-09,719.6060000000001
1959-12-10,724.2344,1959-12-10,724.2344
1959-12-11,715.8592,1959-12-11,715.8592
1959-12-14,712.9939999999999,1959-12-14,712.9939999999999
1959-12-15,723.7936000000002,1959-12-15,723.7936000000002
1959-12-16,712.5532,1959-12-16,712.5532
1959-12-17,708.586,1959-12-17,708.586
1959-12-18,720.4876,1959-12-18,720.4876
1959-12-21,726.6587999999998,1959-12-21,726.6587999999998
1959-12-22,726.4384,1959-12-22,726.4384
1959-12-23,729.9648,1959-12-23,729.9648
1959-12-24,735.6952,1959-12-24,735.6952
1959-12-28,741.4255999999998,1959-12-28,741.4255999999998
1959-12-29,722.4712,1959-12-29,722.4712
1959-12-30,712.1124,1959-12-30,712.1124
1959-12-31,705.0596,1959-12-31,705.0596
1960-01-04,702.4148,1960-01-04,702.4148
1960-01-05,700.872,1960-01-05,700.872
1960-01-06,704.178,1960-01-06,704.178
1960-01-07,694.26,1960-01-07,694.26
1960-01-08,698.8883999999998,1960-01-08,698.8883999999998
1960-01-11,704.178,1960-01-11,704.178
1960-01-12,699.3292,1960-01-12,699.3292
1960-01-13,699.9904,1960-01-13,699.9904
1960-01-14,702.6351999999998,1960-01-14,702.6351999999998
1960-01-15,707.4839999999999,1960-01-15,707.4839999999999
1960-01-18,708.1451999999998,1960-01-18,708.1451999999998
1960-01-19,704.6188,1960-01-19,704.6188
1960-01-20,704.178,1960-01-20,704.178
1960-01-21,704.6188,1960-01-21,704.6188
1960-01-22,710.79,1960-01-22,710.79
1960-01-25,720.0468,1960-01-25,720.0468
1960-01-26,723.5731999999998,1960-01-26,723.5731999999998
1960-01-27,719.6060000000001,1960-01-27,719.6060000000001
1960-01-28,714.096,1960-01-28,714.096
1960-01-29,705.5004,1960-01-29,705.5004
1960-02-01,697.7864,1960-02-01,697.7864
1960-02-02,702.1944,1960-02-02,702.1944
1960-02-03,701.0924,1960-02-03,701.0924
1960-02-04,713.2144,1960-02-04,713.2144
1960-02-05,710.1288,1960-02-05,710.1288
1960-02-08,712.5532,1960-02-08,712.5532
1960-02-09,719.6060000000001,1960-02-09,719.6060000000001
1960-02-10,717.4019999999999,1960-02-10,717.4019999999999
1960-02-11,721.5896,1960-02-11,721.5896
1960-02-12,724.2344,1960-02-12,724.2344
1960-02-15,717.4019999999999,1960-02-15,717.4019999999999
1960-02-16,714.096,1960-02-16,714.096
1960-02-17,718.5039999999999,1960-02-17,718.5039999999999
1960-02-18,722.9119999999999,1960-02-18,722.9119999999999
1960-02-19,719.6060000000001,1960-02-19,719.6060000000001
1960-02-23,705.7207999999998,1960-02-23,705.7207999999998
1960-02-24,699.3292,1960-02-24,699.3292
