Date,10 Year Treasury Yield,3 Month Treasury Yield,3 Month Treasury Yield (Bond Equivalent Basis),Spread,Rec_prob,NBER_Rec,Year,CCI Value
1970-12-31,6.39,4.87,4.999180185635222,1.3908198143647788,0.39907943049696537,0.0,1970,98.74387
1971-01-31,6.24,4.44,4.552763852976574,1.6872361470234258,0.3779195297003364,0.0,1971,98.92701
1971-02-28,6.11,3.7,3.786806044308856,2.3231939556911447,0.32410198848258365,0.0,1971,99.06342
1971-03-31,5.7,3.38,3.456476192984393,2.243523807015607,0.2479344218602195,0.0,1971,99.16283
1971-04-30,5.83,3.86,3.9521733446960536,1.8778266553039464,0.16772297966466918,0.0,1971,99.24342
1971-05-31,6.39,4.14,4.241891393432269,2.148108606567731,0.14158194901758991,0.0,1971,99.31329
1971-06-30,6.52,4.75,4.874500073802811,1.6454999261971874,0.12814218599147106,0.0,1971,99.37062
1971-07-31,6.73,5.4,5.550767982967505,1.1792320170324944,0.14747759912882968,0.0,1971,99.40685
1971-08-31,6.58,4.94,5.071945623207126,1.5080543767928738,0.13175145188661258,0.0,1971,99.42242
1971-09-30,6.14,4.69,4.812188722918173,1.3278112770818256,0.1109128730191269,0.0,1971,99.4637
1971-10-31,5.93,4.46,4.573505638849541,1.3564943611504583,0.09297127353654104,0.0,1971,99.60351
1971-11-30,5.81,4.22,4.324744117668528,1.4852558823314703,0.07657099380862692,0.0,1971,99.89603
1971-12-31,5.93,4.01,4.1073279175105215,1.8226720824894789,0.07872662670154028,0.0,1971,100.2331
1972-01-31,5.95,3.38,3.456476192984393,2.493523807015607,0.05465297749863296,0.0,1972,100.4671
1972-02-29,6.08,3.2,3.2709024106102693,2.8090975893897308,0.0225413631877318,0.0,1972,100.4896
1972-03-31,6.07,3.73,3.817802127111261,2.25219787288874,0.025383114504473357,0.0,1972,100.4121
1972-04-30,6.19,3.71,3.7971375446233417,2.392862455376658,0.04253799532589268,0.0,1972,100.3828
1972-05-31,6.13,3.69,3.776475071226868,2.353524928773132,0.02917542755408901,0.0,1972,100.5019
